iter	Passed	Remaining
0	165	164888
1	166	83127
2	169	56257
3	170	42363
4	171	34219
5	173	28682
6	174	24747
7	175	21756
8	177	19495
9	178	17642
10	179	16121
11	180	14858
12	181	13792
13	182	12867
14	183	12076
15	185	11417
16	186	10806
17	187	10253
18	188	9754
19	190	9310
20	191	8912
21	192	8543
22	193	8209
23	194	7898
24	195	7607
25	196	7346
26	197	7106
27	198	6884
28	200	6697
29	201	6505
30	202	6326
31	203	6151
32	204	5998
33	205	5845
34	206	5700
35	207	5564
36	208	5434
37	209	5315
38	210	5198
39	212	5088
40	213	4988
41	215	4904
42	216	4807
43	217	4716
44	218	4630
45	219	4545
46	220	4464
47	221	4386
48	222	4314
49	223	4245
50	224	4177
51	225	4111
52	226	4047
53	228	3995
54	229	3938
55	230	3882
56	231	3829
57	232	3776
58	233	3730
59	234	3680
60	236	3634
61	237	3586
62	238	3542
63	239	3496
64	240	3454
65	241	3420
66	243	3389
67	244	3352
68	246	3319
69	247	3284
70	248	3247
71	249	3213
72	250	3179
73	251	3145
74	252	3111
75	253	3078
76	254	3047
77	255	3016
78	256	2990
79	258	2974
80	259	2947
81	260	2919
82	261	2889
83	262	2864
84	263	2838
85	264	2813
86	265	2789
87	266	2764
88	267	2739
89	268	2715
90	269	2691
91	270	2670
92	272	2655
93	273	2634
94	274	2616
95	275	2597
96	276	2576
97	277	2556
98	278	2535
99	279	2515
100	280	2496
101	281	2476
102	282	2457
103	283	2440
104	284	2422
105	285	2404
106	286	2394
107	288	2380
108	289	2364
109	290	2347
110	291	2331
111	292	2315
112	292	2299
113	293	2283
114	294	2268
115	295	2253
116	296	2237
117	297	2222
118	298	2207
119	299	2193
120	300	2179
121	301	2168
122	302	2158
123	303	2147
124	304	2134
125	305	2120
126	306	2106
127	307	2093
128	308	2081
129	309	2068
130	310	2056
131	310	2044
132	311	2032
133	312	2020
134	313	2009
135	314	1999
136	315	1987
137	316	1979
138	318	1969
139	318	1959
140	319	1948
141	320	1936
142	321	1925
143	322	1915
144	323	1904
145	323	1894
146	324	1884
147	325	1874
